Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,seas_rnd,First.Game,round.name,Finals,status,Home.Venue.Exp,Away.Venue.Exp,Home.Interstate,Away.Interstate,Home.Factor,Away.Factor,Home.ELO_pre,Away.ELO_pre,Home.ELO,Away.ELO,Probability,Prediction
71,1898-05-24,3,Carlton,2,4,16,Essendon,4,4,28,Princes Park,-12,1898,Regular,3,1898.3,FALSE,NA,NA,NA,8,2,FALSE,FALSE,1,0,1488.7159497136001,1517.3226356118387,1486.6476678368253,1519.3909174886135,0.3073227157169022,-20
72,1898-05-24,3,Melbourne,6,10,46,Collingwood,5,6,36,M.C.G.,10,1898,Regular,3,1898.3,FALSE,NA,NA,NA,11,4,FALSE,FALSE,1,0,1508.9171988896194,1504.2129216169017,1511.5694344270948,1501.5606860794262,0.6059085382651558,11
73,1898-05-24,3,St Kilda,2,4,16,Fitzroy,7,11,53,Junction Oval,-37,1898,Regular,3,1898.3,FALSE,NA,NA,NA,9,2,FALSE,FALSE,1,0,1477.2452513464618,1494.3365580367793,1474.4204603970757,1497.1613489861654,0.419731196045498,-8
74,1898-05-24,3,Geelong,7,18,60,Sydney,1,2,8,Corio Oval,52,1898,Regular,3,1898.3,FALSE,NA,NA,NA,10,2,FALSE,TRUE,1,0,1511.4202890272043,1497.829195757595,1513.3262553843074,1495.923229400492,0.7167954892863265,24
75,1898-05-28,4,Carlton,4,5,29,Geelong,3,12,30,Princes Park,-1,1898,Regular,4,1898.4,FALSE,NA,NA,NA,9,2,FALSE,FALSE,1,0,1486.6476678368253,1513.3262553843074,1484.4255521640555,1515.5483710570772,0.3301806348840892,-17
76,1898-05-28,4,Sydney,7,11,53,Collingwood,6,6,42,Lake Oval,11,1898,Regular,4,1898.4,FALSE,NA,NA,NA,9,2,TRUE,FALSE,1,0,1495.923229400492,1501.5606860794262,1499.0626471120315,1498.4212683678866,0.5335189135899443,4
77,1898-05-28,4,Essendon,16,16,112,St Kilda,5,7,37,East Melbourne,75,1898,Regular,4,1898.4,FALSE,NA,NA,NA,9,2,FALSE,FALSE,1,0,1519.3909174886135,1474.4204603970757,1520.0876805138446,1473.7236973718445,0.8964690898616535,54
78,1898-05-28,4,Fitzroy,4,14,38,Melbourne,2,7,19,Brunswick St,19,1898,Regular,4,1898.4,FALSE,NA,NA,NA,9,3,FALSE,FALSE,1,0,1497.1613489861654,1511.5694344270948,1501.0495928011565,1507.6811906121038,0.42225203343374024,-7
79,1898-06-04,5,Collingwood,6,12,48,Carlton,0,6,6,Victoria Park,42,1898,Regular,5,1898.5,FALSE,NA,NA,NA,9,2,FALSE,FALSE,1,0,1498.4212683678866,1484.4255521640555,1500.3395781240333,1482.5072424079087,0.714961403247127,23
80,1898-06-04,5,Essendon,6,12,48,Melbourne,3,5,23,East Melbourne,25,1898,Regular,5,1898.5,FALSE,NA,NA,NA,10,2,FALSE,FALSE,1,0,1520.0876805138446,1507.6811906121038,1522.0590420590122,1505.7098290669362,0.7070785222633721,23
81,1898-06-04,5,Geelong,4,10,34,Fitzroy,6,3,39,Corio Oval,-5,1898,Regular,5,1898.5,FALSE,NA,NA,NA,11,2,FALSE,FALSE,1,0,1515.5483710570772,1501.0495928011565,1510.6446325815284,1505.9533312767053,0.7286387036476802,25
82,1898-06-04,5,St Kilda,3,3,21,Sydney,7,20,62,Junction Oval,-41,1898,Regular,5,1898.5,FALSE,NA,NA,NA,10,2,FALSE,TRUE,1,0,1473.7236973718445,1499.0626471120315,1471.3827847266016,1501.4035597572745,0.3478324881490291,-15
83,1898-06-11,6,Fitzroy,5,7,37,Carlton,4,9,33,Brunswick St,4,1898,Regular,6,1898.6,FALSE,NA,NA,NA,10,2,FALSE,FALSE,1,0,1505.9533312767053,1482.5072424079087,1507.368982188821,1481.091591495793,0.7896506817064217,34
